CASE_ID,ACCIDENT_YEAR,PROC_DATE,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,STATE_ROUTE,LATITUDE,LONGITUDE,COUNTY,CITY
81641731,2021,2021-12-03,2021-11-16,1431,2,LAS POSITAS RD,PRESTON AV,,37.706081390380859,-121.70929718017578,ALAMEDA,LIVERMORE
81642900,2021,2021-12-06,2021-11-01,0157,1,GRIMMER BLVD,IRVINGTON AVE,,,,ALAMEDA,FREMONT
81642901,2021,2021-12-06,2021-11-05,1835,5,MISSION BLVD,NILES BLVD,,,,ALAMEDA,FREMONT
81642904,2021,2021-12-06,2021-11-07,1652,7,SABERCAT RD,DURHAM RD,,,,ALAMEDA,FREMONT
81642905,2021,2021-12-06,2021-11-10,1308,3,AUTO MALL PKWY,880NB EXIT,,,,ALAMEDA,FREMONT
81644758,2021,2021-12-07,2021-11-24,1854,3,FIRST ST,SOUTHFRONT RD,,37.699371337890625,-121.74170684814453,ALAMEDA,LIVERMORE
81649439,2021,2021-12-13,2021-11-18,1322,4,SR 84 (FREMONT BL),SR 84 (PERALTA BL),,,,ALAMEDA,FREMONT
81653648,2021,2021-12-16,2021-12-02,0842,4,FREMONT BLVD,CUSHING PKWY,,,,ALAMEDA,FREMONT
81655587,2021,2021-12-20,2021-11-29,1938,1,PASEO PADRE PKWY,DECOTO RD,,,,ALAMEDA,FREMONT
81657245,2021,2021-12-21,2021-12-09,1454,4,STEVENSON BLVD,OMAR ST,,,,ALAMEDA,FREMONT
81658381,2021,2021-12-22,2021-12-10,2036,5,ROBERTS AVE,RONALD CT,,,,ALAMEDA,FREMONT
81659673,2021,2021-12-23,2021-12-12,2136,7,MCLEOD ST,FIRST ST,,37.68280029296875,-121.76750946044922,ALAMEDA,LIVERMORE
81659683,2021,2021-12-23,2021-12-07,0939,2,FREMONT BLVD,WALNUT AVE,,,,ALAMEDA,FREMONT
81666112,2021,2021-12-30,2021-12-21,1105,2,LAS POSITAS RD,MINES RD,,37.699939727783203,-121.76046752929688,ALAMEDA,LIVERMORE
81671919,2021,2022-01-06,2021-12-02,1112,4,FREMONT BLVD,NICOLET AVE,,,,ALAMEDA,FREMONT
81671921,2021,2022-01-06,2021-12-16,1156,4,BUNCHE DR,BOSCELL RD,,,,ALAMEDA,FREMONT
81674000,2021,2022-01-10,2021-12-21,1356,2,MISSION BLVD,MISSION RD,,,,ALAMEDA,FREMONT
81675319,2021,2022-01-11,2021-12-21,1935,2,VASCO RD,LAS POSITAS RD,,37.7027587890625,-121.72006988525391,ALAMEDA,LIVERMORE
81678920,2021,2022-01-17,2021-12-06,1910,1,FREMONT BLVD,TAMAYO ST,,,,ALAMEDA,FREMONT
81678927,2022,2022-01-17,2022-01-04,1030,2,SR 238 (MISSION BL),DRISCOLL ROAD,,,,ALAMEDA,FREMONT
81678929,2022,2022-01-17,2022-01-06,1438,4,PACIFIC COMMONS BLVD,BUNCHE DR,,,,ALAMEDA,FREMONT
81678930,2022,2022-01-17,2022-01-07,1427,5,GRIMMER BLVD,BLACOW RD,,,,ALAMEDA,FREMONT
81680500,2021,2022-01-19,2021-12-20,1832,1,PASEO PADRE PKWY,TAMAYO ST,,,,ALAMEDA,FREMONT
81681432,2021,2022-01-20,2021-12-26,2146,7,SRS 262 (MISSION BL),MOHAVE DR,,,,ALAMEDA,FREMONT
81682388,2022,2022-01-21,2022-01-06,1503,4,MURRIETA BL,OLIVINA AV,,37.682689666748047,-121.79086303710938,ALAMEDA,LIVERMORE
81684381,2021,2022-01-25,2021-12-16,0742,4,BLACOW RD,STEVENSON BLVD,,,,ALAMEDA,FREMONT
81684383,2022,2022-01-25,2022-01-18,2325,2,ISABEL AV,VINEYARD AV,84,37.652359008789062,-121.80558013916016,ALAMEDA,LIVERMORE
81684386,2022,2022-01-25,2022-01-19,1958,3,M ST,SECOND ST,,37.679779052734375,-121.77220153808594,ALAMEDA,LIVERMORE
81684387,2022,2022-01-25,2022-01-20,1530,4,SPRINGTOWN BL,LASSEN RD,,37.705158233642578,-121.74114227294922,ALAMEDA,LIVERMORE
81688099,2021,2022-01-28,2021-12-11,1708,6,WASHINGTON BLVD,OLIVE AVE (E),,,,ALAMEDA,FREMONT
81688101,2021,2022-01-28,2021-12-17,0730,5,MISSION BLVD,PICKERING AVE,,,,ALAMEDA,FREMONT
81688130,2022,2022-01-28,2022-01-11,1319,2,FREMONT BLVD,CHAPEL WAY,,,,ALAMEDA,FREMONT
81688971,2022,2022-01-31,2022-01-13,1947,4,ARDENWOOD BLVD,CA 84 OFF RAMP,,,,ALAMEDA,FREMONT
81688975,2022,2022-01-31,2022-01-15,1810,6,MOWRY AVE,PARKSIDE DR,,,,ALAMEDA,FREMONT
81690290,2022,2022-02-01,2022-01-20,0900,4,CONCANNON BL,MURDELL LN,,37.660839080810547,-121.79865264892578,ALAMEDA,LIVERMORE
81690297,2022,2022-02-01,2022-01-25,0818,2,FOURTH ST,P ST,,37.677219390869141,-121.77513885498047,ALAMEDA,LIVERMORE
81692411,2021,2022-02-03,2021-12-04,0213,6,FREMONT BLVD,DOANE ST,,,,ALAMEDA,FREMONT
81692412,2021,2022-02-03,2021-12-06,1840,1,FREMONT BLVD,WALNUT AVE,,,,ALAMEDA,FREMONT
81692419,2022,2022-02-03,2022-01-16,0946,7,PASEO PADRE PKWY,PATTERSON RANCH RD,,,,ALAMEDA,FREMONT
81692423,2022,2022-02-03,2022-01-19,2150,3,KIMBRO ST,MATTOS DR,,,,ALAMEDA,FREMONT
81692432,2022,2022-02-03,2022-01-26,1944,3,BLACOW RD,BOONE DR,,,,ALAMEDA,FREMONT
81692436,2022,2022-02-03,2022-01-30,1247,7,AUTO MALL PKWY,FREMONT BLVD,,,,ALAMEDA,FREMONT
81693386,2022,2022-02-04,2022-01-24,0804,1,NEWPORT DR,DELAWARE DR,,,,ALAMEDA,FREMONT
81694136,2022,2022-02-07,2022-01-28,2103,5,EAST AV,JEFFERSON AV,,37.679561614990234,-121.74327850341797,ALAMEDA,LIVERMORE
81695582,2022,2022-02-08,2022-02-01,1645,2,JACK LONDON BL,LIVERMORE OUTLETS DR,,37.690040588378906,-121.82923889160156,ALAMEDA,LIVERMORE
81696509,2022,2022-02-09,2022-01-05,1402,3,FREMONT BLVD,W WARREN AVE,,,,ALAMEDA,FREMONT
81697492,2022,2022-02-10,2022-01-28,1743,5,FREMONT BLVD,FIORENTINO CMN,,,,ALAMEDA,FREMONT
81699331,2022,2022-02-14,2022-01-16,2224,7,FREMONT BLVD,PARISH AVE,,,,ALAMEDA,FREMONT
81699332,2022,2022-02-14,2022-01-24,1928,1,MOWRY AVE,PARKSIDE DR,,,,ALAMEDA,FREMONT
81701772,2022,2022-02-16,2022-01-14,2115,5,BESCO DR,STEVENSON BLVD,,,,ALAMEDA,FREMONT
81702944,2022,2022-02-17,2022-02-05,2238,6,FREMONT BLVD,THORNTON AVE,,,,ALAMEDA,FREMONT
81703909,2022,2022-02-18,2022-01-30,1337,7,STEVENSON BLVD,PASEO PADRE PKWY,,,,ALAMEDA,FREMONT
81703914,2022,2022-02-18,2022-02-10,0945,4,FREMONT BLVD,COUNTRY DR,,,,ALAMEDA,FREMONT
81706536,2022,2023-03-07,2022-01-30,2314,7,MISSION BLVD,TELLES LN,,,,ALAMEDA,FREMONT
81707501,2022,2022-02-24,2022-01-17,2357,1,PERALTA BLVD,MOWRY AVE (1),,,,ALAMEDA,FREMONT
81710353,2022,2022-02-28,2022-02-04,0144,5,PASEO PADRE PKWY,PHEBE RD,,,,ALAMEDA,FREMONT
81713962,2021,2022-03-03,2021-12-01,0315,3,SR238(MISSION BOULEVARD),NILES CANYON RD POLE #16757,,,,ALAMEDA,FREMONT
81717323,2022,2022-03-08,2022-02-12,1915,6,DEEP CREEK RD,PASEO PADRE PKWY,,,,ALAMEDA,FREMONT
81718362,2022,2022-03-09,2022-02-09,1733,3,LAS POSITAS RD,MINES RD,,37.699581146240234,-121.76020050048828,ALAMEDA,LIVERMORE
81722727,2022,2022-03-15,2022-02-11,2124,5,W WARREN AVE,BAYSIDE PKWY,,,,ALAMEDA,FREMONT
81723740,2022,2022-03-16,2022-02-16,1235,3,MISSION BLVD,EMORY CMN,,,,ALAMEDA,FREMONT
81725003,2022,2022-03-17,2022-03-04,1414,5,MISSION BLVD,PICKERING AVE,,,,ALAMEDA,FREMONT
81725004,2022,2022-03-17,2022-03-04,1518,5,MOWRY AVE,GUARDINO DR,,,,ALAMEDA,FREMONT
81725007,2022,2022-03-17,2022-03-11,0545,5,WARREN AVE,MISSION FALLS CT,,,,ALAMEDA,FREMONT
81728627,2022,2022-03-22,2022-03-14,1545,1,MURRIETA BL,STANLEY BL,,37.677860260009766,-121.78749847412109,ALAMEDA,LIVERMORE
81728628,2022,2022-03-22,2022-03-15,1450,2,ISABEL AV,KITTY HAWK RD,84,37.697639465332031,-121.80510711669922,ALAMEDA,LIVERMORE
81730545,2022,2022-03-24,2022-03-10,1506,4,RAILROAD AV,N ST,,37.681861877441406,-121.77452087402344,ALAMEDA,LIVERMORE
81730551,2022,2022-03-24,2022-03-20,2025,7,VASCO RD,RESEARCH DR,,37.675670623779297,-121.71903228759766,ALAMEDA,LIVERMORE
81733486,2022,2022-03-25,2022-03-16,1056,3,FREMONT BLVD,PASEO PADRE PKWY,,,,ALAMEDA,FREMONT
81735772,2022,2022-03-29,2022-03-16,1123,3,SR-84 (DECOTO RD),CABRILLO CT,,,,ALAMEDA,FREMONT
81735775,2022,2022-03-29,2022-03-18,1012,5,FREMONT BLVD,AUTO MALL PKWY,,,,ALAMEDA,FREMONT
81737853,2022,2022-03-31,2022-03-21,0756,1,ISHERWOOD WAY,PASEO PADRE PKWY,,,,ALAMEDA,FREMONT
